batch,host,condition,score,run_status,scoring_status,elapsed_minutes,model_calls,conservative_cost_usd_excluding_judge,episode_id,benchmark,task_id,seed,repeat_index,model,was_started,episode_status,host_exit_code,scorer_exit_code,submission_status,submission_file_present,started_at_utc,finished_at_utc,elapsed_seconds,input_tokens_budget_accounted,output_tokens_budget_accounted,usage_note,config_sha256,config_path,controller_source_tree_sha256,integration_tree_sha256,benchmark_revision,task_spec_sha256,score_source,debug_episode,debug_logs,end_reason_raw,end_reason_zh_CN,judge_model_used,judge_model_configured,judge_calls,model_request_log_count,model_response_log_count,model_error_log_count,input_tokens_successfully_reported,output_tokens_successfully_reported,split,profile,scorer_wall_seconds,judge_input_tokens,judge_output_tokens,successful_model_responses,model_errors,rate_limited_calls,input_tokens_error_reservations,output_tokens_error_reservations,notes_zh_CN,sharednet_room_id
smoke-20260922,ark,N0,,failed,invalid_submission,0.20541323820749918,0,0,discoverybench_ark_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__ark__N0__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,true,initializing,1,2,invalid,false,Tue Sep 22 2026 22:30:03 GMT+0100 (英国夏令时间),Tue Sep 22 2026 22:30:16 GMT+0100 (英国夏令时间),12.324794292449951,0,0,本地预算计账，非供应商账单。,5aa2354735433e5a637822895b4dca3c44de13c8fb2db104502cafef54a796a3,configs/discoverybench.ark.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,22aa332b12dd8791c1002c9c6232433ee6444b99433a57891fc5f7e225c21507,c31fcf011e070f021a5f5b906896d0821f6880e8,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,batches/smoke-20260922/episodes/ark-N0/score.json,batches/smoke-20260922/episodes/ark-N0,batches/smoke-20260922/logs/ark-N0,Startup diagnostics only; no model calls. Retained for debugging. Corrected scientific execution is a separate attempt-scoped batch.,启动/环境阶段失败，未产生有效评分；详细原因见原始 metadata 和 host 日志。,,,0,0,0,0,0,0,,,,,,,,,,,,
smoke-20260922,ark,R1,,failed,invalid_submission,0.19750137329101564,0,0,discoverybench_ark_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__ark__R1__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,true,failed,1,2,invalid,false,Tue Sep 22 2026 22:30:16 GMT+0100 (英国夏令时间),Tue Sep 22 2026 22:30:27 GMT+0100 (英国夏令时间),11.850082397460938,0,0,本地预算计账，非供应商账单。,5aa2354735433e5a637822895b4dca3c44de13c8fb2db104502cafef54a796a3,configs/discoverybench.ark.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,22aa332b12dd8791c1002c9c6232433ee6444b99433a57891fc5f7e225c21507,c31fcf011e070f021a5f5b906896d0821f6880e8,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,batches/smoke-20260922/episodes/ark-R1/score.json,batches/smoke-20260922/episodes/ark-R1,batches/smoke-20260922/logs/ark-R1,SharedNet HTTP 422: validation_failed: Request validation failed.,启动/环境阶段失败，未产生有效评分；详细原因见原始 metadata 和 host 日志。,,,0,0,0,0,0,0,,,,,,,,,,,,
smoke-20260922,ark,R3,,failed,invalid_submission,0.17828627824783325,0,0,discoverybench_ark_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__ark__R3__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,true,failed,1,2,invalid,false,Tue Sep 22 2026 22:30:27 GMT+0100 (英国夏令时间),Tue Sep 22 2026 22:30:38 GMT+0100 (英国夏令时间),10.697176694869995,0,0,本地预算计账，非供应商账单。,5aa2354735433e5a637822895b4dca3c44de13c8fb2db104502cafef54a796a3,configs/discoverybench.ark.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,22aa332b12dd8791c1002c9c6232433ee6444b99433a57891fc5f7e225c21507,c31fcf011e070f021a5f5b906896d0821f6880e8,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,batches/smoke-20260922/episodes/ark-R3/score.json,batches/smoke-20260922/episodes/ark-R3,batches/smoke-20260922/logs/ark-R3,SharedNet HTTP 422: validation_failed: Request validation failed.,启动/环境阶段失败，未产生有效评分；详细原因见原始 metadata 和 host 日志。,,,0,0,0,0,0,0,,,,,,,,,,,,
smoke-20260922,agent_laboratory,N0,,interrupted,invalid_submission,3.901180903116862,0,0,discoverybench_agent_laboratory_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__agent_laboratory__N0__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,true,initializing,,,pending,false,Tue Sep 22 2026 22:31:17 GMT+0100 (英国夏令时间),Tue Sep 22 2026 22:35:11 GMT+0100 (英国夏令时间),234.07085418701172,0,0,本地预算计账，非供应商账单。,e102ed4d7926652e3fbfb2b0488bb30317f44bc99f2bc3321fef7a3690f73e77,configs/discoverybench.agent_laboratory.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,22aa332b12dd8791c1002c9c6232433ee6444b99433a57891fc5f7e225c21507,c31fcf011e070f021a5f5b906896d0821f6880e8,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,batches/smoke-20260922/episodes/agent_laboratory-N0/score.json,batches/smoke-20260922/episodes/agent_laboratory-N0,batches/smoke-20260922/logs/agent_laboratory-N0,Controller interrupted to repair common startup integration errors before model calls.,启动/环境阶段失败，未产生有效评分；详细原因见原始 metadata 和 host 日志。,,,0,0,0,0,0,0,,,,,,,,,,,,
smoke-20260922,agent_laboratory,R1,,not_started_batch_aborted,not_run,,0,0,discoverybench_agent_laboratory_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__agent_laboratory__R1__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,false,,,,not_evaluated,false,,,,0,0,未启动，调用和用量为 0。,e102ed4d7926652e3fbfb2b0488bb30317f44bc99f2bc3321fef7a3690f73e77,configs/discoverybench.agent_laboratory.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,,,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,,,,Startup diagnostics only; no model calls. Retained for debugging. Corrected scientific execution is a separate attempt-scoped batch.,批次启动阶段中止，此项未启动。,,,0,,,,,,,,,,,,,,,,,
smoke-20260922,agent_laboratory,R3,,not_started_batch_aborted,not_run,,0,0,discoverybench_agent_laboratory_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__agent_laboratory__R3__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,false,,,,not_evaluated,false,,,,0,0,未启动，调用和用量为 0。,e102ed4d7926652e3fbfb2b0488bb30317f44bc99f2bc3321fef7a3690f73e77,configs/discoverybench.agent_laboratory.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,,,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,,,,Startup diagnostics only; no model calls. Retained for debugging. Corrected scientific execution is a separate attempt-scoped batch.,批次启动阶段中止，此项未启动。,,,0,,,,,,,,,,,,,,,,,
smoke-20260922,evo_scientist,N0,,not_started_batch_aborted,not_run,,0,0,discoverybench_evo_scientist_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__evo_scientist__N0__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,false,,,,not_evaluated,false,,,,0,0,未启动，调用和用量为 0。,bbcdfded5d87287f78ce46823a86fd8a352004a3ece2cb7f73cc435b3d6c9e46,configs/discoverybench.evo_scientist.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,,,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,,,,Startup diagnostics only; no model calls. Retained for debugging. Corrected scientific execution is a separate attempt-scoped batch.,批次启动阶段中止，此项未启动。,,,0,,,,,,,,,,,,,,,,,
smoke-20260922,evo_scientist,R1,,not_started_batch_aborted,not_run,,0,0,discoverybench_evo_scientist_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__evo_scientist__R1__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,false,,,,not_evaluated,false,,,,0,0,未启动，调用和用量为 0。,bbcdfded5d87287f78ce46823a86fd8a352004a3ece2cb7f73cc435b3d6c9e46,configs/discoverybench.evo_scientist.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,,,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,,,,Startup diagnostics only; no model calls. Retained for debugging. Corrected scientific execution is a separate attempt-scoped batch.,批次启动阶段中止，此项未启动。,,,0,,,,,,,,,,,,,,,,,
smoke-20260922,evo_scientist,R3,,not_started_batch_aborted,not_run,,0,0,discoverybench_evo_scientist_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__evo_scientist__R3__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,false,,,,not_evaluated,false,,,,0,0,未启动，调用和用量为 0。,bbcdfded5d87287f78ce46823a86fd8a352004a3ece2cb7f73cc435b3d6c9e46,configs/discoverybench.evo_scientist.json,f7218765f915eeb0131ab33e4792f058918e4c42539f6d6e9cd0517d819e6900,,,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,,,,Startup diagnostics only; no model calls. Retained for debugging. Corrected scientific execution is a separate attempt-scoped batch.,批次启动阶段中止，此项未启动。,,,0,,,,,,,,,,,,,,,,,
smoke-20260922-live,ark,N0,,failed,invalid_submission,0.35036011536916095,0,0,discoverybench_ark_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__ark__N0__s0__r0,discoverybench,nls_bmi/metadata_0/0/0,0,0,DeepSeek-V4-Pro,true,failed,1,2,invalid,false,Tue Sep 22 2026 22:36:09 GMT+0100 (英国夏令时间),Tue Sep 22 2026 22:36:30 GMT+0100 (英国夏令时间),21.021606922149658,0,0,本地预算计账，非供应商账单。,5aa2354735433e5a637822895b4dca3c44de13c8fb2db104502cafef54a796a3,configs/discoverybench.ark.json,48b5506eddb7de5e0b6061136dabf11bb613e43199f10a436df611f96597604f,8504aa7b545d732748c2cb556fd1c2d2b93365c797c75a85bfc93d06c0b683b3,c31fcf011e070f021a5f5b906896d0821f6880e8,0585358d2bd5b419ed5b155f9cc30eb3a4a746c6475881b1abfc1b6eda49e83b,batches/smoke-20260922-live/episodes/ark-N0/score.json,batches/smoke-20260922-live/episodes/ark-N0,batches/smoke-20260922-live/logs/ark-N0,Conda env provisioning failed: conda create failed (rc=1); see /mnt/c/Users/Leo/RAC-AI_Scientist/runs/smoke-20260922-live/episodes/discoverybench_ark_dev__discoverybench__train__nls_bmi_metadata_0_0_0_abca80ec__ark__N0__s0__r0/workspace/.env_provision.log,启动/环境阶段失败，未产生有效评分；详细原因见原始 metadata 和 host 日志。,,,0,0,0,0,0,0,,,,,,,,,,,,
